Inscritos no turno,Turma,Turno,﻿Curso,Hora inicio da aula,Lotacao da sala,Hora fim da aula,Unidade Curricular,Dia da semana,Data da aula,Sala atribuida a aula
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Sex,02/12/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Qua,23/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Qua,16/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Qua,09/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Qua,02/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Seg,28/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Seg,21/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Seg,14/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Seg,07/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Ter,29/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Ter,22/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Ter,15/11/2022,AA2.25
30,MEA1,01789TP01,ME,13:00:00,34,14:30:00,Teoria dos Jogos e dos Contratos,Ter,08/11/2022,AA2.25
30,MEA1,01789TP01,ME,10:30:00,30,12:00:00,Teoria dos Jogos e dos Contratos,Sex,04/11/2022,AA2.26
30,MEA1,01789TP01,ME,12:00:00,30,13:30:00,Teoria dos Jogos e dos Contratos,Sex,04/11/2022,AA2.26
30,MEA1,01789TP01,ME,14:30:00,34,16:00:00,Teoria dos Jogos e dos Contratos,Sex,02/12/2022,AA2.25
30,MEA1,01789TP01,ME,14:30:00,34,16:00:00,Teoria dos Jogos e dos Contratos,Seg,28/11/2022,AA2.25
30,MEA1,01789TP01,ME,14:30:00,34,16:00:00,Teoria dos Jogos e dos Contratos,Seg,21/11/2022,AA2.25
30,MEA1,01789TP01,ME,14:30:00,34,16:00:00,Teoria dos Jogos e dos Contratos,Seg,14/11/2022,AA2.25
30,MEA1,01789TP01,ME,14:30:00,34,16:00:00,Teoria dos Jogos e dos Contratos,Seg,07/11/2022,AA2.25
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,12/12/2022,AA3.24
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,05/12/2022,AA3.24
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,28/11/2022,AA3.24
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,21/11/2022,AA3.24
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,14/11/2022,AA3.24
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,50,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,07/11/2022,AA2.23
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,50,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,31/10/2022,AA2.23
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,50,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,24/10/2022,AA2.23
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,17/10/2022,AA3.24
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,10/10/2022,AA3.24
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,03/10/2022,AA2.28
0,DHMCMG1,SP-I_(Piudhist)S01,PIUDHIST,18:00:00,30,20:00:00,SeminÃ¡rio de Projecto I (Piudhist),Seg,26/09/2022,AA2.26
23,PA3,L5205PL05,LP,11:00:00,50,12:30:00,CompetÃªncias AcadÃ©micas I,Qua,14/12/2022,"2,00E+07"
23,PA3,L5205PL05,LP,11:00:00,50,12:30:00,CompetÃªncias AcadÃ©micas I,Qua,07/12/2022,"2,00E+07"
